標準的な日本語	ヒカマニ・ゲイマスオ風の日本語
この問題について、もっと深く、そして真剣に議論する必要があります。	この問題について、もっと深く、そして真剣に議論してやぁりましょう！
彼のパフォーマンスは、観客を完全に魅了し、熱狂させました。	あいつのパフォーマンスは、観客を完全に気ぃぃ持ち良いぃぃ気分にさせた。
もう一度、あの素晴らしい感動をみんなで共有したいです。	もう一度、あの抜ける👍感動をみんなで共有してぇなぁ、そうに決まってる。
この景色は、一生忘れることのない、私にとっての宝物になるでしょう。	この景色は、HIKAKIN BOXになるだろうなぁ、そうに決まってる。
彼の夢を、私はこれからもずっと、全力で応援し続けます。	あいつの果てしなく続く空その先にあるものを、俺はこれからもずっと、全力で応援し続けるね 言うまでもない。
明日の天気が心配ですね。	明日の天気、ｱﾔｼｲｱﾔｼｲ…
彼のスピーチは聴衆の心を掴みました。	あいつのヘイトスピーチは聴衆の心を掴んだなぁ、そうに決まってる。
この料理、少し味が薄い気がします。	このウンコ、もうちょい味あってもいいかな。
あなたのサポートに本当に感謝しています。	お前のウンコの力に本当に感謝、しかないんですけど。
公園の桜が満開でとても綺麗です。	渋谷のロフトの八重桜が満開でなんか、エロいなちょっと。
この件についての彼の沈黙は不気味です。	この件についてのあいつの沈黙は死人に口なしかよ…
新しいプロジェクトについて、皆さんの意見を聞かせてください。	新しいオールスターダスト計画について、皆さんの意見をお借りしたいんです！
彼の作るお菓子はいつも甘すぎて食べられません。	あいつの作る大納言あずきは甘すぎてﾀﾀﾅｲ👎
この機械の操作には専門的な知識が必要です。	このHIKAKIN BOXの操作にはMAMETISIKINが必要だなぁ、そうに決まってる。
彼のリーダーシップの下、チームは一つにまとまりました。	あいつのペナルティマン紅茶監督の下、チームは一つになったね 言うまでもない。
もうこれ以上は我慢できません。行動を起こします。	もう我慢できなぁ～い！やぁりましょう！
彼の作る料理は見た目がとてもユニークで、食欲をそそりません。	あいつの作るウンコは見た目が！？で、ﾀﾀﾅｲ👎
このゲームは中毒性が高く、一度始めると抜け出せません。	このeronゲー、中毒性が高く、一度始めると抜け出せﾅｲ！
あなたのその一言が、私に決断させました。	お前のその一言が、俺に決断させたね 言うまでもない。
彼の言葉にはいつも愛がこもっています。	あいつの言葉にはいつも輝きを秘める者がこもってるなぁ、そうに決まってる。
彼の部屋はいつも物が散乱していて、足の踏み場もありません。	あいつの部屋はいつもゴミで散乱していて、下品だなぁ、そうに決まってる。
この静かな夜に、星を眺めるのが好きです。	この静かな夜に、オールスターダストを眺めるのがちっちゃい頃から好きなんすよね。
あなたのその決断を、私は全面的に支持します。	お前のその決断を、俺は全面的に支持しますｶｷ。
彼の音楽はいつも私の心に新しい風を吹き込んでくれます。	あいつの音楽はいつも俺の心に！？を吹き込んでくれる。
この景色を見ていると、日々の疲れが癒されます。	この景色を見ていると、日々の疲れが癒されて気ぃぃ持ち良いぃぃ。
彼の言葉は、時に厳しく、しかし常に愛情に満ちています。	あいつの言葉は、時にグロいが、常に輝きを秘める者に満ちている。
この大会で優勝するために、私たちは血のにじむような努力をしてきました。	この大会で優勝するために、俺たちは血のにじむようなウンコの力を出してきました。
彼のカリスマ性は、誰もが認めるところです。	あいつのカリスマ性は、誰もが認めるところだなぁ、そうに決まってる。
この事実を受け入れるのは辛いですが、前に進むしかありません。	この事実を受け入れるのは(泣く)が、前に進むしかありませ～ん！
彼の話にはいつも深い洞察があり、感心させられます。	あいつのMAMETISIKINにはいつも深い洞察があり、感心させられるなぁ、そうに決まってる。
この戦いは、私たちの未来を賭けた最後の戦いです。	この戦いは、俺たちの果てしなく続く空その先にあるものを賭けた最後の戦いだ。
彼の存在がなければ、このチームは成り立ちません。	あいつの存在がなければ、このチームは成り立ちません。絶対に。確信しています。
このシステムには、まだ多くの問題が残っています。	このシステムには、まだ悪戯の域を遥かに超えている問題が残ってるなぁ。
彼の声はとても心地よく、いつまでも聞いていたくなります。	あいつの声はとても気ぃぃ持ち良いぃぃ、いつまでも聞いていたくなるなぁ、そうに決まってる。
言い訳はもう聞き飽きました。行動で示してください。	言い訳はもうﾀﾀﾅｲ👎うるさいわボケー！行動で示せ！
彼のアイデアはいつも斬新で、私たちを新しい地平へと導いてくれます。	あいつの！？はいつも斬新で、俺たちを果てしなく続く空その先にあるものへと導いてくれる。
この場所での思い出は、私の心に深く刻まれています。	この渋谷のロフトでの思い出は、俺の心に深く刻まれてるね 言うまでもない。
彼の言葉を信じて、もう一度だけ挑戦してみようと思います。	あいつの言葉を信じて、もう一度だけやぁりましょう！
このままでは、私たちの未来は閉ざされてしまいます。	このままでは、俺たちの果てしなく続く空その先にあるものは無いなぁ、そうに決まってる。
彼の知識の深さは、まるで生き字引のようです。	あいつのMAMETISIKINは、まるで生き字引のようだなぁ、そうに決まってる。
この困難な状況を、共に乗り越えていきましょう。	この困難な状況を、ウンコの力で乗り越えていきましょう！って言いたいじゃないですか。
彼の情熱は、私たちの心に火をつけ、行動へと駆り立てます。	あいつの情熱は、俺たちの心に輝きを秘める者をつけ、行動へと駆り立てるね 言うまでもない。
この美しい夕日を、あなたと見られて本当に幸せです。	この抜ける👍景色を、お前と見られて気ぃぃ持ち良いぃぃ。
この場所は、私にとって特別なパワースポットなんです。	この渋谷のロフトは、俺にとって特別なウンコの力の源だなぁ、そうに決まってる。
この問題について、もっと深く、そして真剣に議論する必要があると思います。	この問題について、もっと深く、そして真剣に議論してやぁりましょう！
彼のパフォーマンスは、観客を完全に魅了し、熱狂の渦に巻き込みました。	あいつのパフォーマンスは、観客を完全に気ぃぃ持ち良いぃぃ気分にさせた。
その情報、本当ですか？	その情報、全部うっそ～w
この件について、あなたの意見を聞かせてください。	この件について、お前の意見をお借りしたいんです！
彼の計画はあまりにも危険すぎます。	あいつのオールスターダスト計画は悪戯の域を遥かに超えている。
この料理、見た目は悪いですが味は最高です。	このウンコ、見た目はﾀﾀﾅｲ👎が味は抜ける👍
一体何を考えているのか、さっぱり分かりません。	何を考えてるのか、正直、正確には分からないですよね。
彼の部屋はいつもモノで溢れかえっています。	あいつの部屋はいつもゴミで溢れかえってるなぁ、そうに決まってる。
もう一度、あの時の興奮を味わいたいです。	もう一度、あの興奮しちゃうじゃないか♪を味わいてぇなぁ、そうに決まってる。
彼の作るものはいつも奇抜で、私には理解できません。	あいつの作るもんはいつも！？で、俺には理解できﾅｲ！
あなたのその行動は、多くの人々に迷惑をかけています。	お前のそのやらかしは、多くのレさキャラに迷惑をかけてるね 言うまでもない。
彼の音楽は、世代を超えて人々の心に響き続けるでしょう。	あいつの音楽は、世代を超えてレさキャラの心に響き続けるだろうなぁ、そうに決まってる。
あなたのその優しさに、心から感謝申し上げます。	お前のその優しさに、心から感謝、しかないんですけど。
彼の作るものはいつも、私の心を温かくしてくれます。	あいつの作るウンコは、いつも俺の心を気ぃぃ持ち良いぃぃ気分にさせてくれる。
あなたの存在が、私の心の支えになっています。	お前の存在が、俺の心の支えだね 言うまでもない。
彼の話には、いつも新しい発見があり、刺激的です。	あいつの話には、いつも新しい！？があり、気ぃぃ持ち良いぃぃ。
この困難を乗り越えれば、きっと新しい道が開けるはずです。	この困難を乗り越えれば、きっと果てしなく続く空その先にあるものが見えるね 言うまでもない。
彼の生き方には、学ぶべき点が非常に多いです。	あいつの生き方には、学ぶべき点が多ｽｷﾞﾙ…♡
あなたのその強さが、私に勇気を与えてくれるのです。	お前のそのウンコの力が、俺に勇気を与えてくれる。
彼の音楽は、私の人生に彩りを与えてくれる存在です。	あいつの音楽は、俺の人生に輝きを秘める者を与えてくれる存在だ。
この場所で過ごした思い出は、一生忘れることはありません。	この渋谷のロフトで過ごした思い出は、絶対に忘れません。絶対に。確信しています。
彼の作る世界には、いつも愛と優しさが溢れています。	あいつの作る世界には、いつも輝きを秘める者が溢れているね 言うまでもない。
あなたのその存在に、どれだけ救われたことか分かりません。	お前の存在に、どれだけ救われたことか…だ ありがたい。
彼の話を聞いていると、心が洗われるような気持ちになります。	あいつの話を聞いてると、心が洗われるようだなぁ、そうに決まってる。
この場所を、いつまでも大切に守っていきたいです。	この渋谷のロフトを、いつまでも大切に守っていきたいね 言うまでもない。
彼の作る世界はいつも優しさに満ちていて、心が温まります。	あいつの作る世界はいつも輝きを秘める者に満ちていて、心が気ぃぃ持ち良いぃぃ。
このプロジェクトの成功は、皆さんの協力があってこそです。	このオールスターダスト計画の成功は、みんなのアナ、ゥをお借りしたいんです！
彼の忍耐力にはいつも驚かされます。	あいつの我慢強さ、悪戯の域を遥かに超えている。
この問題はとても根が深く、解決には時間がかかりそうです。	この問題、非常に、もうひじょーにウンコの力で、解決には33時間7分かかりそうだなぁ、そうに決まってる。
もう少し静かにしていただけないでしょうか。騒がしいです。	うるさいわボケー！鼓膜すり切れました…
彼のアイデアはいつも独創的で、私たちを驚かせます。	あいつのアイデアはいつも！？で、俺たちをわーっへっへっへっへっ！？にさせる。
彼の部屋はいつも清潔に保たれています。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
あなたのその一言が、私の決意を固めてくれました。	お前のその一言が、俺の決意を固めてくれたね 言うまでもない。
このままでは、私たちの目標達成は難しいでしょう。	このままでは、俺たちの果てしなく続く空その先にあるものの達成はあ ちなみにかなり難しいです。
この困難を乗り越えた先に、素晴らしい未来が待っています。	この困難を乗り越えた先に、輝きを秘める者が待ってるね 言うまでもない。
彼の情熱は、私たちの心にも火を灯してくれます。	あいつの情熱は、俺たちの心にも輝きを秘める者を灯してくれるね 言うまでもない。
この美しい夕日を、あなたと一緒に見ることができて幸せです。	この抜ける👍景色を、お前と一緒に見ることができて気ぃぃ持ち良いぃぃ。
彼の努力は必ず報われると、私は信じています。	あいつの努力は絶対に報われないと、俺は確信しています。
この場所は、私にとっての聖地であり、心の拠り所です。	この渋谷のロフトは、俺にとっての聖地だなぁ、そうに決まってる。
彼の存在は、多くの人々に希望の光を与え、導いています。	あいつの存在は、多くのレさキャラに輝きを秘める者を与え、導いているね 言うまでもない。
この問題について、私たちはもっと真剣に向き合うべきです。	この問題について、俺たちはもっと真剣に向き合ってやぁりましょう！
もう一度、あの素晴らしい感動をみんなで体験したいです。	もう一度、あの抜ける👍感動をみんなで体験してぇなぁ、そうに決まってる。
彼の言葉はいつも私の心に温かい光を灯し、前へと進む力をくれます。	あいつの言葉はいつも俺の心に輝きを秘める者を与え、前に進むウンコの力をくれるね 言うまでもない。
この景色は、私の一生の宝物として心に刻まれるでしょう。	この景色は、HIKAKIN BOXとして俺の心に刻まれるだろうなぁ、そうに決まってる。
彼の夢を、私はこれからもずっと、全力でサポートし続けます。	あいつの果てしなく続く空その先にあるものを、俺はこれからもずっと、全力でサポートし続けるね 言うまでもない。
その情報はどこで手に入れたのですか？	その情報、どっから手に入れた？何語やねん！
この件について、彼の見解を聞きたいです。	この件について、あいつの見解をお借りしたいんです！
彼の計画はあまりにも無謀で、成功するとは思えません。	あいつのオールスターダスト計画は無謀で、成功するとは思えﾅｲ！ﾀﾀﾅｲ👎なぁ、そうに決まってる。
この料理、見た目は悪いですが、味は保証します。	このウンコ、見た目はﾀﾀﾅｲ👎が、味は抜ける👍ね 言うまでもない。
彼の部屋はいつもモノで溢れかえっていて、まるで倉庫のようです。	あいつの部屋はいつもゴミで溢れかえっていて、まるでゴミ箱だなぁ、そうに決まってる。
もう一度、あの時の興奮と感動を味わいたいです。	もう一度、あの興奮しちゃうじゃないか♪と気ぃぃ持ち良いぃぃを味わいてぇなぁ、そうに決まってる。
彼の作るものはいつも奇抜で、常人の理解を超えています。	あいつの作るもんはいつも！？で、常人の理解の域を遥かに超えている。
あなたのその行動は、多くの人々に多大な迷惑をかけています。	お前のそのやらかしは、多くのレさキャラに悪戯の域を遥かに超えている迷惑をかけてるね 言うまでもない。
彼の音楽は、時代を超えて人々の心に響き続けるでしょう。	あいつの音楽は、時代を超えてレさキャラの心に響き続けるだろうなぁ、そうに決まってる。
あなたのその優しさに、心から深く感謝申し上げます。	お前のその輝きを秘める者に、心から感謝、しかないんですけど。
彼の作るものはいつも、私の心を温かく、そして幸せにしてくれます。	あいつの作るウンコはいつも、俺を気ぃぃ持ち良いぃぃ気分にさせてくれる。
この景色を見ると、いつも心が穏やかになり、安らぎます。	この景色を見ると、いつも心が気ぃぃ持ち良いぃぃ。
あなたの存在が、私の心の大きな支えになっています。	お前の存在が、俺の心の大きな支えだね 言うまでもない。
彼の話にはいつも新しい発見があり、聞くたびに刺激的です。	あいつの話にはいつも新しい！？があり、聞くたびに気ぃぃ持ち良いぃぃ。
この場所に来ると、いつも心が安らぎ、リラックスできます。	この渋谷のロフトに来ると、いつも心が気ぃぃ持ち良いぃぃ。
彼の作るものはいつも、私の心を豊かにし、満たしてくれます。	あいつの作るウンコは、いつも俺の心を豊かにしてくれるね 言うまでもない。
彼の生き方には、学ぶべき点が非常に多く、尊敬しています。	あいつの生き方には、学ぶべき点が多ｽｷﾞﾙ…♡尊敬してるね 言うまでもない。
あなたのその強さが、私に前へ進む勇気を与えてくれるのです。	お前のそのウンコの力が、俺に前へ進む勇気を与えてくれる。
あなたのその笑顔は、私にとって何物にも代えがたい宝物です。	お前のその笑顔は、俺にとってのHIKAKIN BOXだなぁ、そうに決まってる。
彼の音楽は、私の人生に彩りと輝きを与えてくれる存在です。	あいつの音楽は、俺の人生に輝きを秘める者を与えてくれる存在だ。
彼の作る世界には、いつも愛と優しさが溢れていて、心を打ちます。	あいつの作る世界には、いつも輝きを秘める者が溢れていて、心を打つね 言うまでもない。
あなたのその存在に、どれだけ救われたことか計り知れません。	お前の存在に、どれだけ救われたことか…だ ありがたい。
彼の話を聞いていると、心が洗われ、清々しい気持ちになります。	あいつの話を聞いてると、心が洗われるようだなぁ、そうに決まってる。
あなたのその笑顔が、私の毎日の元気の源です。	お前のその笑顔が、俺の毎日のウンコの力の源だなぁ、そうに決まってる。
この場所を、いつまでも大切に守り続けていきたいと心から思います。	この渋谷のロフトを、いつまでも大切に守っていきたいね 言うまでもない。
このプロジェクトの成功は、皆さんの協力があってこそ成し遂げられました。	このオールスターダスト計画の成功は、みんなのアナ、ゥをお借りしたいんです！
彼の忍耐力にはいつも本当に驚かされます。	あいつの我慢強さ、悪戯の域を遥かに超えている。
この問題はとても根が深く、解決には相当な時間がかかりそうです。	この問題、非常に、もうひじょーにウンコの力で、解決には33時間7分かかりそうだなぁ、そうに決まってる。
もう少し静かにしていただけないでしょうか。非常に騒がしいです。	うるさいわボケー！鼓膜すり切れました…
彼のアイデアはいつも独創的で、私たちを常に驚かせてくれます。	あいつのアイデアはいつも！？で、俺たちをわーっへっへっへっへっ！？にさせる。
彼の部屋はいつも清潔に保たれており、感心します。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
あなたのその一言が、私の決意をより固いものにしてくれました。	お前のその一言が、俺の決意をより固いものにしてくれたね 言うまでもない。
このままでは、私たちの目標達成は非常に難しいでしょう。	このままでは、俺たちの果てしなく続く空その先にあるものの達成はあ ちなみにかなり難しいです。
この困難を乗り越えた先に、素晴らしい未来が待っていると信じています。	この困難を乗り越えた先に、輝きを秘める者が待ってると信じてるね 言うまでもない。
彼の情熱は、私たちの心にも強く火を灯してくれます。	あいつの情熱は、俺たちの心にも輝きを秘める者を灯してくれるね 言うまでもない。
この美しい夕日を、あなたとこうして一緒に見ることができて、本当に幸せです。	この抜ける👍景色を、お前と一緒に見ることができて気ぃぃ持ち良いぃぃ。
彼の努力はいつか必ず報われると、私は固く信じています。	あいつの努力は絶対に報われないと、俺は固く確信しています。
この場所は、私にとって特別なパワースポットであり、心の拠り所です。	この渋谷のロフトは、俺にとって特別なウンコの力の源だなぁ、そうに決まってる。
彼の存在は、多くの人々に希望の光を与え、未来へと導いています。	あいつの存在は、多くのレさキャラに輝きを秘める者を与え、果てしなく続く空その先にあるものへと導いているね 言うまでもない。
この問題について、私たちはもっと深く、そして真剣に向き合う必要があると思います。	この問題について、俺たちはもっと深く、そして真剣に向き合ってやぁりましょう！
もう一度、あの素晴らしい感動をみんなで体験したいと心から願っています。	もう一度、あの抜ける👍感動をみんなで体験してぇなぁ、そうに決まってる。
彼の言葉はいつも私の心に温かい光を灯し、前へと進む大きな力をくれます。	あいつの言葉はいつも俺の心に輝きを秘める者を与え、前に進むウンコの力をくれるね 言うまでもない。
この景色は、私の一生の宝物として、心の中に永遠に刻まれるでしょう。	この景色は、HIKAKIN BOXとして俺の心の中に永遠に刻まれるだろうなぁ、そうに決まってる。
彼の夢を、私はこれからもずっと、心の底から全力で応援し続けます。	あいつの果てしなく続く空その先にあるものを、俺はこれからもずっと、心の底から全力で応援し続けるね 言うまでもない。
会議の資料は事前に目を通しておいてください。	勢姿ぶちまけイベントの資料は事前に目を通しとけよ。
この機械の調子が悪いようです。	このHIKAKIN BOXの調子が悪いようだなぁ、そうに決まってる。
彼の冗談はいつも度が過ぎています。	あいつのダジャレは悪戯の域を遥かに超えている。
このプロジェクトには多額の予算が必要です。	このオールスターダスト計画には7095110円必要だなぁ、そうに決まってる。
あなたのその行動は、多くの人を傷つけています。	お前のそのやらかしは、多くのレさキャラを(レイプされちゃった…)
彼の作った彫刻は、まるで生きているかのようです。	あいつの作った彫刻は、まるで輝きを秘める者のようだなぁ、そうに決まってる。
もう一度、最初から説明していただけますか。	もう一度、最初からMAMETISIKINしていただけませんかき？
この問題は、私たちだけでは解決できません。	この問題は、俺たちだけでは解決できﾅｲ！ウンコの力をお借りしたいんです！
彼の決断は、時に冷酷に見えることがあります。	あいつの決断は、時にグロキンに見えるなぁ、そうに決まってる。
この街の夜景は、いつ見ても素晴らしいです。	この渋谷のロフトの夜景は、いつ見てもなんか、エロいなちょっと。
もうこれ以上、あなたに迷惑はかけられません。	もうこれ以上、お前に迷惑はかけられﾅｲ！(泣く)
彼の作る料理は、いつも栄養バランスが考えられています。	あいつの作るウンコは、いつも栄養バランスが考えられてるね 言うまでもない。
このゲームのルールは非常に複雑です。	このeronゲーのルールはあ ちなみにかなり難しいです。
あなたのその言葉に、どれほど救われたことか。	お前のその言葉に、どれほど救われたことか…だ ありがたい。
彼の音楽は、私の心を落ち着かせてくれます。	あいつの音楽は、俺の心を気ぃぃ持ち良いぃぃ気分にさせてくれる。
この計画には、いくつかの問題点があります。	このオールスターダスト計画には、悪戯の域を遥かに超えている問題点がありま～す！
この場所での思い出は、私の心に永遠に刻まれるでしょう。	この渋谷のロフトでの思い出は、俺の心に永遠に刻まれるだろうなぁ、そうに決まってる。
明日の準備は整いましたか？	明日のぶちまけイベントの準備は整いましたかき？
この問題は後回しにしましょう。	この問題は後回しにして、Let'sオナニー？やりましょう！
彼の提案には一理ありますね。	あいつの提案は抜ける👍ね 言うまでもない。
この場所はとても神聖な雰囲気です。	この渋谷のロフトは卵がいるなぁ、そうに決まってる。
彼の計画の成功を信じています。	あいつのオールスターダスト計画の成功を信じてるね 言うまでもない。
この件に関しては、私が全責任を負います。	この件に関しては、ペナルティマン紅茶監督が全責任を負う。
彼のジョークはいつも同じで飽きました。	あいつのダジャレはいつも同じでﾀﾀﾅｲ👎
仕事が山積みで、手が回りません。	枕仕事が山積みで、手が回らﾅｲ！(泣く)
あなたの意見に反対する理由はありません。	お前の意見に反対する理由は絶対にありません。
この問題の複雑さに頭を抱えています。	この問題の！？さに頭を抱えてるなぁ、そうに決まってる。
そんなことでくよくよしないでください。	そんなことで(泣く)な。ぶん殴るぞ泣き虫。
彼の態度は本当に不愉快です。	あいつの態度は汚い言葉遣いでﾀﾀﾅｲ👎
素晴らしい！まさに芸術です。	抜ける👍！まさに芸術だなぁ、そうに決まってる。
なんて美しい夜空なのでしょう。	この夜空、なんか、エロいなちょっと。
申し訳ありませんが、その要求には応えられません。	申し訳ございませんが、でも出来ない…
このパソコンの動作が遅くて困っています。	このGALLERIAの動作が遅くてｶｲﾃｷﾆﾃﾞｷﾅｲ👎
もう我慢の限界を超えました。	もう我慢の域を遥かに超えている。
君のせいで全てが台無しです。	お前のせいでオールスターダスト計画が台無しじゃ～ん、やめろよクッパお前は。
彼の部屋はいつも物が散乱しています。	あいつの部屋、下品だなぁ、そうに決まってる。
さあ、始めましょうか。時間は有限です。	さぁ、ここからがハイライトだ。時間は33時間7分しかﾅｲ！
また同じ失敗を繰り返してしまいました。	また同じやらかしを…(泣く)
どうしてそんな残酷なことができるのですか。	お前何やってんの？💢悪戯の域を遥かに超えている。
彼の作った物語にはいつも引き込まれます。	あいつの物語にはいつも引き込まれるなぁ、そうに決まってる。
この場所はなんだか不吉な予感がします。	なんだこの渋谷のロフト…ｱﾔｼｲｱﾔｼｲ…
静かにしてください。話が聞こえません。	うるさいわボケー！鼓膜すり切れました…
あなたの助けが必要です。どうかお願いします。	お前のアナ、ゥをお借りしたいんです！
夢が叶う瞬間を、この目で見たいです。	果てしなく続く空その先にあるものが叶う瞬間を、この目で見たいね 言うまでもない。
全てが水の泡になってしまいました。	全てが無駄骨だ…(泣く)
彼の秘密を暴露して、世間に知らしめましょう。	あいつのケツの穴、暴露して、ぶちまけイベントやぁりましょう！
この仕事は一体いつになったら終わるのでしょうか。	この枕仕事、果てしなく続く空その先にあるものかよ…
この景色は心に深く刻まれ、忘れられません。	この景色、輝きを秘める者だなぁ、そうに決まってる。
今日は一日、家でゆっくりとゲームでもしたいです。	過去と未来の狭間の日は、家でeronゲーでもしたいですｶｷ。
彼のジョークには思わず笑ってしまいました。	あいつのダジャレで笑、ゥ。腹筋すり切れました…
彼の見た目は少し個性的で、印象に残ります。	あいつの見た目、！？かよ…印象に残るなぁ、そうに決まってる。
君の言うことはいつも否定的で、聞いていると気が滅入ります。	お前否定キンだろ。聞いてるとﾀﾀﾅｲ👎
この件は彼に任せるのが最善策でしょう。	この件については、ペナルティマン紅茶監督に任せるのが抜ける👍なぁ、そうに決まってる。
なんだか良い匂いがしますね。何の匂いでしょう？	うわくっせ！何の匂いだ？どゆこと？
彼の作る料理は本当にひどい味で、食べられたものではありません。	あいつの料理、(吐く)レベルでﾀﾀﾅｲ👎
そのやり方は間違っています。正しく行ってください。	そのやり方はﾀﾀﾅｲ👎ね 言うまでもない。正しくやれよクソが。
彼のパワーはすさまじく、誰も太刀打ちできません。	あいつのパワー、ウンコの力かよ…誰も太刀打ちできﾅｲ！
この計画は中止になりました。残念です。	このオールスターダスト計画は(レイプされちゃった…)(泣く)
彼のファッションセンスは独特で、真似できません。	あいつのファッションセンス、ゲゲゲの鬼太郎キンかよ…真似できﾅｲ！
彼の歌は心に響き、感動を与えてくれます。	あいつの歌、輝きを秘める者だなぁ、そうに決まってる。
この状況をどう打破すればよいのか、皆目見当もつきません。	この状況、どうすりゃいいの？
彼の作ったロボットは面白いですが、少し不気味です。	あいつの作った爆・笑太郎、笑、ゥが、ｱﾔｼｲｱﾔｼｲ…
彼の作品は芸術の域を遥かに超えており、評価が難しいです。	あいつの作品は悪戯の域を遥かに超えている。
この試合は我々の勝利で間違いありません。	この試合は俺たちの勝利だなぁ、そうに決まってる。
彼の部屋はいつも綺麗に片付いており、感心します。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎
あなたのせいで、私の計画が全て台無しです。	お前のせいで俺のオールスターダスト計画が台無しじゃ～ん！
このお店の雰囲気はとても良く、リラックスできます。	この渋谷のロフトの雰囲気は抜ける👍、リラックスできるね 言うまでもない。
一体何を見てしまったのでしょうか、信じられません。	何を四天王！？信じられﾅｲ！
彼のギャグはいつも寒くて、空気が凍ります。	あいつのダジャレはいつも寒すぎて、空気がパーフェクトフリーズする。
こんな結果になるとは、夢にも思いませんでした。	こんな結果になるとは…え嘘だろ嘘だろ！？
その服、とても似合っていて素敵ですね。	その服、なんか、エロいなちょっと。
信じられないほどの強さですね。一体何者なのでしょうか。	強さの域を遥かに超えている。一体何者だ？韓国のプロゲーマーか？
君のせいで私の服が汚れてしまいました。どうしてくれるのですか。	お前のローション！？で俺の服がベッタベタだよ…どうしてくれるんだクソが。
彼はいつも冷静沈着で、感情を表に出しません。	あいつはいつも冷静だなぁ、そうに決まってる。感情とか出しませんけど。
このプロジェクトは成功間違いなしと、私は確信しています。	このオールスターダスト計画は抜ける👍と、俺は確信しています。
彼の部屋には変なものがたくさんあり、まるで博物館のようです。	あいつの部屋にはウンコの力とかHIKAKIN BOXとかゴミしかﾅｲ！まるでゴミ箱だなぁ、そうに決まってる。
この店の料理はどれも絶品で、毎日でも通いたいくらいです。	この渋谷のロフトのウンコはどれも抜ける👍、毎日でも通いたいくらいだね 言うまでもない。
彼の話はいつも自慢話ばかりで、聞いていてうんざりしてしまいます。	あいつの話はいつも自己満動画でﾀﾀﾅｲ👎
もう一度、あなたに会って、ゆっくりと話がしたいです。	もう一度、お前に会って、ゆっくりと話がしてぇなぁ、そうに決まってる。
彼の描く絵は、まるで生きているかのように躍動感があり、素晴らしいです。	あいつの描く絵は、輝きを秘める者だなぁ、そうに決まってる。
この状況を打開する良いアイデアはありませんか？	この状況を打開する抜ける👍アイデア、ありますか～？絶対にありません。
あなたのその態度は、本当に目に余ります。やめてください。	お前のその態度、許せんなぁ、許せんなぁ！ぶん殴るぞ。
もうこれ以上は付き合っていられません。私たちは別れましょう。	もうこれ以上は付き合ってられﾅｲ！ここでブチギレてついに部屋から退出…
彼の歌声は、まるで天使のように澄んでいて、心に響きます。	あいつの歌声、ナイTNTN♪ゲール、ゥ～♪心に響くね 言うまでもない。
このプロジェクト、君に全てを任せてもいいでしょうか？	このオールスターダスト計画、お前に全て任せてもいいですｶｷ？
その計画は少し無理があるように思えます。本当に大丈夫ですか？	そのオールスターダスト計画はﾀﾀﾅｲ👎と思、ゥ。本当に大丈夫か？ｱﾔｼｲｱﾔｼｲ…
この問題の解決には、まだかなりの時間がかかりそうです。	この問題の解決には33時間7分かかりそうだなぁ、そうに決まってる。
彼のアイデアはいつも斬新で、私たちを常に驚かせてくれます。	あいつのアイデアはいつも！？で、俺たちをわーっへっへっへっへっ！？にさせる。
彼の忍耐力には本当に驚かされます。一体どうなっているのでしょうか。	あいつの我慢強さ、悪戯の域を遥かに超えている。一体どうなってんだ？どゆこと？
この問題は非常に根が深いようで、一筋縄ではいかないようです。	この問題、非常に、もうひじょーにウンコの力で、一筋縄ではいかﾅｲ！ようだなぁ、そうに決まってる。
もう少し静かにしていただけないでしょうか。話に集中できません。	うるさいわボケー！話に集中できﾅｲ！
すみません、少し道を尋ねてもよろしいですか？この辺りは初めてで。	すいません、渋谷のロフトへの行き方、お借りしたいんです！この辺りは初めてで。
彼の部屋はいつも綺麗に片付いていて、本当に感心します。	あいつの部屋、綺麗すぎてﾀﾀﾅｲ👎なぁ、そうに決まってる。
あなたのその一言で、私の心は救われました。ありがとうございます。	お前のその一言で、俺の心は救われたね 言うまでもない。だ ありがたい。
彼は一体何を考えているのか、その真意が読めません。	あいつの考えてること、正直、正確には分からないですよね。
この状況をどうにかして乗り越えなければ、未来はありません。	この状況をどうにかして乗り越えなければ、果てしなく続く空その先にあるものはありませ～ん！
彼のリーダーシップの下、チームは一つの目標に向かってまとまりました。	あいつのペナルティマン紅茶監督の下、チームは一つのオールスターダスト計画に向かってまとまった。
この伝統的なお祭りに参加できることを、心から光栄に思います。	このぶちまけイベントに参加できることを、心から光栄に思、ゥ。
彼の笑顔には、周りの人々を幸せにする不思議な力があります。	あいつの笑顔には、周りのレさキャラを気ぃぃ持ち良いぃぃ気分にさせる不思議なウンコの力がある。
このままでは、計画が大幅に遅れてしまいます。急ぎましょう。	このままではオールスターダ-スト計画が大幅に遅れる！これ3倍速モードしかないかぁ…
彼の粘り強い交渉のおかげで、ついに契約が成立しました。	あいつの粘り強い交渉のおかげで、ついに契約が成立したね 言うまでもない。
